"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
[Texas art/science museum],executive director,,,United States,"125,000","$2,018.00 ","125,000",P,,"health insurance paid, housing stipend",2019,15,"1 week paid for each year at museum, up to 6 weeks paid, FT employees only, any gender",male,white,,,
LACMA,Gallery Media Coordinator,Exhibition Design & Production,Los Angeles,USA,$27 ,2018,$27 ,H,,Vacation/Sick/Pension/Insurance,2019,15,Paid leave,Male,Caucasian,,,
Philadelphia Museum of Art,Project Conservator,Conservation,,US,,,"$43,000.00 ",P,,,2019,15,,male,white,,,
[Corporate Museum],Museum Manager ,,Philadelphia,US,"$43,000.00 ",,"$57,000.00 ",P,,Yes,2014-2018,16,"16 maternity, 4 paternity",Male,White,Bachelor's preferred,,
"Artist studio, London, UK",Head of Operations,,London,UK,,,"£ 44,000",P,,,,16,,Male,,,,
National Museum of the USAF,Curator ,Collection Management ,"Dayton, Oh",United States,"34,000",2003,"94,000",P,,"Health, Life, 401k",2019,16,Both,Male,White,Masters,,Federal Government position 
[Unicersity of Illinois at Chicago],Assistant Director of Grad Program ,Museum Studies,Chicago,USA,"41,500","$2,013.00 ","52,364",P,,Yes,2019,17,"2 weeks, most employees after 6 months.",Male,Biracial (Black/White),Master's,N/A,"Pay increase reflects membership in union, no significant raises since my job was reappointed to a non-union position."
"[County Historical Society (2 FT, 1PT)]",Director,,Upstate New York,USA,"$42,500.00 ","$2,007.00 ","$54,950.00 ",Permanent,,403(b) plan employer contribution,2019,20,N/A,Male,Caucasian,Master's required; no assistance offered,,
[SF Arts organization (12 employees)],Director,Art Program,San Francisco,United States,"$110,000 ",2015,"$110,000 ",P,,Health / PTO / Paternity / Child Care ,2019,20,All parents,Male,White,BA,No,
Bennington Museum,Visitor Services Coordinator/Museum Store Buyer,Visitor Services,"Bennington, Vermont",USA,"25,000",2015,32960,P,,"Medical, Vacation",2019,20,,Male,White,BA,,
Metropolitan Museum of Art,General Manager of the Website,Digital,NYC,USA,"$115,000.00 ",,"$158,000.00 ",P,,Y,2012,20,,Male,White,,,
Woodstock Byrdcliffe Guild,Executive Director,,Woodstock,United States,"75,000",2014,78000,P,,None,2019,20,None,Male,Caucasian,Graduate,n/a,
[Non-Profit - Art Museum - West Texas - 7 full-time emloyees],Executive Director/Curator,,,USA,"80,000","$2,016.00 ","84,000",P,,Health Insurance ,2019,21,Female - Maternity ,Male,White,NA,NA,
[Large Los Angeles Art Museum],Curator,Curatorial,Los Angeles,USA,"54,000","$2,002.00 ","105,000",P,,Yes,2019,25,Yes,Male,White,"PhD; no aid for me, but some aid offered to others hired without degree",n/a,
[National Park/ National Historic Site],Park Ranger,Interpretation and Education,,U,"$24,344.00 ","$1,994.00 ","$72,360.00 ",p,,Yes,2019,25,OPM Annual/ Sick/ FMLA,male,White,"None required, but preferred",No,
[NYC art museum],publicist,Mar and Comm,NY,USA,"$18,000.00 ","$1,990.00 ","$55,000.00 ",P,,"4 weeks vacation, medical, dental, pension",2019,29,All are eligible for parental leave ,male,white,,,
Metropolitan Museum of Art,Principal Departmental Technician/Art Handler,Medieval Art,New York,United States,"$20,000.00 ",1989,"$71,289.00 ",H,,"Yes, Medical, Sick leave, Vacation time, Defined Benefit Pension Plan",2019,32,self,male,,College Degree,,Union Member
[(East Coast natural history museum)],Curator,(Science),,United States,"50-60K (ten month, anonymized)",1999,"175-190K (ten month, anonymized)",P,,"defined contribution and defined benefits retirement, health, dental, etc.",2019,35,yes ,male,white,PhD,N/A (but yes for other curators),
Independent Studio Artist (painter),painter,self employed,"Flint, Michigan",USA,,,"$8,000.00/year",,full time,none,2018,39,none,male,caucasian,terminal degree,,
Smithsonian Natural History Museum,museum specialist,Entomology,Washington,United States,"$14,000 ",1988,85,P,40,"401K, pension, healthcare assistance",2019,40,Mr.,male,caucasian,none,n/a,
"Museum of Fine Arts, Boston","Manager, Photo and Video studios",Intellectual Property,Boston,USA,"39,000",1999,"69,000",P,,"Medical, Dental, some retirement contribution matching, life insurance, other",2019,45,3 mos but includes sick time + vacation,Male,White,BA,,
"[Artist/architect studio, ""non-profit"" (allegedly), 15-20 employees]",Academic research & grant manager,Administration,Toronto,Canada,"45,000 CAD","$2,018.00 ","45,000 CAD",C,45 hrs/week,"2 paid sick days, 10 days vacation, partial health insurance through affiliate university",2018,0 (recently completed PhD),Unknown,Male,White,MA,N/A,"Salary increased for subsequent employee to $60,000 CAD"
University Art Museum,Curator of Exhibitions ,Sole Curator,Louisiana ,United States ,"$55,000.00 ",2018,"$55,000.00 ",P,,Yes,2019,"10 Curatorial, + 4 non",Not sure,Male,White,MA +yrs of experience ,Not sure,Working in Northeast overated.
[Tiny Regional Museum],Curator of Exhibitions and Collections ,Sole curator ,Louisiana ,United States ,"$28,500.00 ",2010,"$39,700.00 ",P,,Yes,2017,"11 or 12, various museum jobs",Probably not,Male,White,MA,Probably not ,Pressure to stay in field no matter what.
"[Non profit gallery, small, nyc] ",Head preparator ,Gallery Manager ,New York,Usa,$25/hr,2015,$45/hr,H,H,None/ leftovers ,,12yrs,None,Male,White,BFA or more ,No,
[Artist's Estate],Archivist,,Los Angeles,United States,"43,000",2018,"43,000",H,30,None,2019,15+,None,Male,White,PhD,N/A,
MoMA,Associate Curator,,NYC,US,"$75,000.00 ",,"$110,000.00 ",P,,,2019,15-20,,Male,White,,,
Peabody Essex Museum,Associate Director,Integrated Media,"Salem, MA",USA,"75,000","$2,013.00 ","86,700",P,,y,2019,20+,,male,White,,,
The Broad,Visitor Services Associate Level 1,Visitor Services,Los Angeles,United States,"$20,358 ",2017,"$20,735 ",$13.75 (H),29,Health Insurance,2019,3 and a half years.,,Male,Latino,,,
[Western USA art museum],Senior curator ,Asia,,United States,,,"$89,478 ",P,,Yes,2019,30+,,Male,White,,,
Abraham Lincoln Library and Museum,Director,Museum,Harrogate,USA,"50,000.00",,"60,000.00",P,,Full Health,2017,30+,"No, not beyond regular health + only women",male,white,Ph. D. preferred ,,This was similar to my directorship at Historic Roscoe Village in OH 1998-2000
Abraham Lincoln Library and Museum,Director,Museum,Harrogate,USA,"50,000.00",,"60,000.00",P,,Full Health,2017,30+,"No, not beyond regular health + only women",male,white,Ph. D. preferred ,,This was similar to my directorship at Historic Roscoe Village in OH 1998-2000
College of Marin,Adjunct Professor – Painting,Fine Art,"Marin County, CA (SF Bay Area)",United States,N/A (Part-Time),2018,"$19,574.12 (for one studio class offered per semester, two total in 2018/19 academic year)",No Contract / Contingent by Semester,6 hrs / week (additional hours / classes not offered)),None,2019,6 years as an adjunct / 10 years in education,none advertized for adjunct faculty / assumed eligibility for full-time,Male,White,MFA required / no financial assistance,N/A,"Shortly after being hired I was told by the department chair (Kevin Muller) in writing that decisions on whether or not adjuncts were offered classes or let go each semester would be made by ""tossing a coin"". After one adjunct (a young working mother) with five-plus years teaching experience and a robust national exhibition record left the department in protest, this process was supported again in writing by the dean of arts and humanities (David Snyder). Additionally, I was hired with two other new adjuncts in 2018 to replace a single full-time retiring faculty member in a blatant attempt to sidestep union requirement to provide partial health care / benefits for adjuncts with higher course loads. Rather than employing ""coin toss"" randomization, I observed the department giving repeated obvious class assignment priority to middle-aged white artists with dubious MFA's (in some cases low-residency), little or no college teaching experience prior to their hiring and spotty / non-existent exhibition records. This is an acute example but unfortunately is in line with my observations of numerous other art department's adjunct policies, from junior colleges to UC campuses and private four-years."
Baltimore Museum of Art,"Conservation Technician of Prints, Drawings & Photographs",Conservation,Baltimore,United States,33000,2012,37000,P,,"Annual PTO, Sick Leave, and Short Term Disability",2019,7+,,Male,White, ,,
[Academic Gallery],Director,Art+Design,Clarksville,USA,"$46,000.00 ","$2,014.00 ","$52,000.00 ",P,,"medical, dental, retirement",2019,9+,family leave,male,white,MFA,na,
[Western States encyclopedic museum. 450+ staff],Software Developer,IT,,US,"$65,000 ",2011,"$76,000 ",P,,"Health, Retirement match (5–8%), mass-transit cost-share",2019,"First museum job, 20 years as a developer",not sure,male,white,Bachelors required,,
Auckland Art Gallery,Gallery Assistant,Front of house,Auckland,New Zealand,Around $40000 NZ,"$2,015.00 ",Around $40000 NZ,Permanent,,20% discount on museum and coffee at cafe,,Two,,Male,Caucasian ,Needed at least Bachelors (Hons) degree in Fine Arts/Art History,,"Gallery paid at least the living wage, even for casual and part time staff. Because the Museum is under council control. "
[Intentionally left blank],Director of Facilities ,Facilities,Texas,USA,"100,000",,,,,,2019,,,male,white,,,
[Midwest Academic Art Museum ~ 30 fulltime employees],Education Manager,Education,,US,"$43,500.00 ",,"$63,800.00 ",P full time,,,2019,,6 weeks paid paternity,Male,White,,,
[Midwest Art Museum],Project Manager,,,US,"$49,000.00 ",,"$49,000.00 ",P,,,2019,,,Male,White,,,
[Midwest Art Museum],Curatorial Assistant,Curatorial,,US,"$31,500.00 ",,"$31,500.00 ",C (1 year),,,2019,,,Male,White,,,
[Midwest Art Museum],Program Assistant (Education),,,US,"$30,000.00 ",,"$30,000.00 ",H,,,2018,,,Male,White,,,
[NY art institution/school],Adminstrative assistant,Development,New York,United States,~$26/hr (after probationary period),2012,$33/hr,Part-time hourly (union),~27 hrs. a week (sometimes more),"Yes (vacation, sick days)",,,,Male,White,,,
"[University Museum, Texas]",Curatorial Fellow,,,US,"$40,000.00 ",,"$40,000.00 ",F,,,2019,,,Male,,,,
American Museum of Natural History,Education Manager,,,US,"$36,000.00 ",,"$61,500.00 ",P,,,2019,,,Male,,,,
American Museum of Natural History,Specialist,,,US,"$38,000.00 ",,"$39,000.00 ",P,,,2017-2019,,,Male,White,,,
An American Council of Learned Societies org (NYC),Digital humanities/collections projects manager/developer,,,US,"$55,000.00 ",,"$80,000.00 ",P,,,2019,,,Male,,,,
Art Institute of Chicago,Departmental Technician (Art Handler),,,US,"$37,000.00 ",,"$37,000.00 ","Hourly, permanent, 35 hours/week ",,,2019,,,Male,white,,,
Boston MFA,Graphic Designer,Exhibitions,Boston,US,"41,100",2016,"51,600",P,,"Health Insurance, Dental Insurance",2019,,6,Male,Option 1,BFA,,
Brooklyn Museum,Freelance Educator,Education,,US,,,"Rate for 1 hour teaching at the museum: $50.00
Rate for 1 hour teaching outside of the museum: $50.00
Rate for 1 hour of prep time: $20.00",H,,,2019,,,Male,Latinx,,,
Brooklyn Museum,Curatorial Assistant,Curatorial,NYC,US,"$42,000.00 ",,"$44,000.00 ",P,,,2015-2018,,,Male,,,,
"Commercial Art Gallery (Portland, Oregon)",Lead Preprator,,,US,"$28,800.00 ",,"$35,520.00 ",P,,,2016-2019,,,Male,,,,
"Cooper Hewitt, Smithsonian Design Museum",fmarke,,,US,"$45,000.00 ",,"$47,000.00 ",C,,,2016,,,Male,,,,
Crystal Bridges Museum of American Art,Curator,Curatorial,"Bentonville, AR",US,"$85,000.00 ",,"$91,000.00 ",P,,,2015,,,Male,White,,,
Guggenheim,Installation Manager,,,US,"$75,000.00 ",,"$80,000.00 ",,,,2017,,,Male,,,,
Institute of Contemporary Art Philadelphia ,Curatorial Fellow,,,US,"$31,500.00 ",,"$32,051.00 ","Fellowship, H, Full Time, 2.5 years fixed",,,2018,,,Male,,,,
International Center of Photography,Education Associate,,,US,"$36,000.00 ",,"$36,000.00 ",,,,2019,,,Male,White,,,
Jan Shrem & Maria Manetti Shrem Museum of Art,Visitor Services Assistant,Visitor Services/Education,,US,$19.54/hr,,$19.54/hr,C (1-year contract),40/hrs per week,Y,2019,,,Male,White,,,
MoMA,Curatorial Assistant,,NYC,US,"$59,000.00 ",,"$61,000.00 ",C,,,2019,,,Male,,,,"Salary minimums for UAW Local 2110 employees at MoMA can be found here (shows minimums over the course of the current 5 year contract):

http://www.2110uaw.org/cbas/MoMA_Salary_Minimums_2018-2023.pdf"
"Museum of Contemporary Art, Los Angeles",Assistant Curator,Curatorial,LA,US,"$60,000.00 ",,"$63,800.00 ",P,,,2019,,,Male,Latinx,,,
Philadelphia Museum of Art,Curatorial Project Manager,,,US,"$26,000.00 ",,"$50,000.00 ",H,,,2019,,,Male,white,,,
Philadelphia Museum of Art,Education Coordinator,,,US,"$45,000.00 ",,"$47,000.00 ",P,,,2017-2019,,,Male,,,,
San Francisco Museum of Modern Art,Web Assistant,,,US,"$28,000.00 ",,"$45,360.00 ",H,,,2019,,,Male,,,,
The Fabric Workshop and Museum,Studio Assistant,,,US,"$33,500.00 ",,"$33,500.00 ",P,,,2019,,,Male,,,,
The Huntington Library,Chief Curator of American Art,Curatorial ,"Pasadena, CA",US,"$115,000.00 ",,"$115,000.00 ",P,,,2017,,,Male,White,,,
UC Berkeley Art Musem & Pacific Film Archive,Metadata & Digital Asset Mgr,,,US,"$52,000.00 ",,"$58,500.00 ",P,,,2016-2019,,No paid paternity leave; allowed to use ## weeks of vacation time,Male,,,,
UC Berkeley Art Musem & Pacific Film Archive,Cataloger,film library,,US,"$41,000.00 ",,"$47,000.00 ",P,,,2013-2016,,,Male,,MLIS,,
Whitney Museum of American Art,Freelance Educator,Education,,US,,,Rate for 70 minute Guided Visit: $110.00,H,,,,,,Male,Latinx,,,
Art + Practice ,Programs and Office Assistant ,Administration ,Los Angeles ,USA,43000,2019,43000,Hourly,40,Yes,43000,0,,Male ,Latino,Bachelor’s degree is required (not necessarily in the field) ,N/A,
[intentionally left blank],Manager,Education,Cooperstown,USA,"32,000","$2,015.00 ","33,190",P,,"Paid insurance, 40C3b matching up to 3%",2019,3,unsure,Male ,White,Masters,,
[Small-Medium West Coast Museum],Head of Exhibitions and Publications ,Exhibitions and Publications ,,United States ,"$60,000 ","$2,017.00 ","$62,000 ",Permanent ,,"Medical, Dental, Vision, 403b ",2019,4.5,,Male ,White,BA/BFA,,
Gilcrease Museum,Manager of Public Programs,Education,Tulsa,United States,"50,000","$2,018.00 ","$50,000.00 ",P,,Yes,2018,5,,Male ,White,Undergraduate,,
[Intentionally left blank],Handler ,,Miami,United states,44200,2018,46410,(P),,Yes,2019,10,No,Male ,White,None,,
Martin Lawrence Gallery ,Art Consultant ,Sales ,,USA,"24,000","$2,017.00 ","24,000",Contingent ,,"Can’t afford them , would be $300+ /month ",2019,10,,Male ,Caucasian ,Bachelors ,,"We get a very small draw which we have to pay back before earning commissions, meaning we are essentially working FULL TIME for FREE , should be ILLEGAL "
"free lance art technician, mostly commercial galleries",art technician,technical/handling,London,UK,usually £13 p/h,1,£18-£20 p/h,hourly,"40 for a five day week, though this isn't guaranteed ",0,2019,14,0,male ,white ,0,0,
[Artist-Run Centre (4 employees)],Executive Director,Administration ,Toronto,Canada,"$37,500 CAD",2010,"$52,201 ",P,,Health & Dental,2019,16,Up to one year unpaid leave,Male ,Caucasian,"Undergraduate degree in art, art history or related field",Yes,
[Science museum],Donor relations,Development,Philadelphia,USA,"$38,000 ",2016,"$42,000 ",P,,"Medical, dental, and optical insurances",2019,5,"12 weeks paid leave; must have worked at least 52 weeks; employee must exhaust ALL sick, vacation, and personal time","Male (he, him, his, himself)",White,Bachelor,No,
"[Art museum, Washington, DC]",Visitor Services Associate,Visitor Experience,"Washington, DC",USA ,$18/hr,2017,$19/hr,Hourly; contract,,No,2018,2,N/A,Male (he/him),White,"N/A (my colleagues and I all have at least some college, if not a degree)",,"The Visitor Services Associate position is, for the most part, a “permanent contract” that will continually be extended pending budget availability. We will sometimes bring in temporary VSAs for heavily-involved exhibits. My department is the newest in the museum, so most of the department members are on contracts with no benefits."
The Brooklyn Rail,Associate Editor,Art,Brooklyn,USA,5000,2017,5000,H,Approx. 10,None,2019,5,N/A,Male (he/him),White,Masters,N/A,
Grand Rapids,Facilities Manager,Facilities,Grand Rapids,United States,"$29,000 ",2018,"$35,000 ",P,,"Health, life, dental",2019,1,"Maternity leave - 12wks unpaid, use of PTO",Male (He/Him/His),Caucasian - White,Bachelor's,,
[Large Midwest Art Museum],Docent Manager,Education,Cincinnati,United States,"$32,500 ",,"$38,000 ",P,,Y,2019,Seven years,,Male (he/his),White,MA,,
Christie’s Auction House ,Coordinator ,Inventory Control ,New York City,USA ,$19 p/hr,2019,$19 ,FT Temp Hourly ,,None,2019,1 yr ,Maternity & paternity leave (permanent staff only) ,Male (him/his),White,BA in the art hist or related field ,Idk ,
